Trial,Time_s,Predicted_RY_Moment
1,20.79,-0.00320665049366653
1,20.8,-0.0035579560790211
1,20.81,-0.00432993471622467
1,20.82,-0.00498929154127836
1,20.83,-0.00518830865621567
1,20.84,-0.00571572501212358
1,20.85,-0.00638596201315522
1,20.86,-0.00631102034822106
1,20.87,-0.00560917286202312
1,20.88,-0.00490549253299832
1,20.89,-0.00438937684521079
1,20.9,-0.00413702614605427
1,20.91,-0.00414634123444557
1,20.92,-0.00431210640817881
1,20.93,-0.00446263840422034
1,20.94,-0.00445786630734801
1,20.95,-0.00427973223850131
1,20.96,-0.00403265003114939
1,20.97,-0.003859783988446
1,20.98,-0.00386394537054002
1,20.99,-0.00410343008115888
1,21,-0.00460202293470502
1,21.01,-0.00538969272747636
1,21.02,-0.00649743899703026
1,21.03,-0.00787437241524458
1,21.04,-0.00935781933367252
1,21.05,-0.010780718177557
1,21.06,-0.0121172973886132
1,21.07,-0.0133858844637871
1,21.08,-0.0146300755441189
1,21.09,-0.0159008763730526
1,21.1,-0.0171958804130554
1,21.11,-0.0183728039264679
1,21.12,-0.0192388128489256
1,21.13,-0.019731717184186
1,21.14,-0.0198688879609108
1,21.15,-0.0197008326649666
1,21.16,-0.0193002019077539
1,21.17,-0.0187227353453636
1,21.18,-0.01798240467906
1,21.19,-0.0170714613050222
1,21.2,-0.0159837976098061
1,21.21,-0.0147280758246779
1,21.22,-0.0133331995457411
1,21.23,-0.0118502490222454
1,21.24,-0.0103396195918322
1,21.25,-0.00884952954947948
1,21.26,-0.00737398490309715
1,21.27,-0.00571645051240921
1,21.28,-0.00326223624870181
1,21.29,0.000110938402940519
1,21.3,0.00349621521309018
1,21.31,0.00681533105671406
1,21.32,0.00986373331397772
1,21.33,0.0118922339752316
1,21.34,0.0120864789932966
1,21.35,0.0103984409943223
1,21.36,0.0074932798743248
1,21.37,0.00411025574430823
1,21.38,0.00143896660301834
1,21.39,-0.00084921537199989
1,21.4,-0.00378346815705299
1,21.41,-0.00774430250748992
1,21.42,-0.0103555014356971
1,21.43,-0.00927073694765568
1,21.44,-0.00848131161183119
1,21.45,-0.0134277641773224
1,21.46,-0.0253664273768663
1,21.47,-0.0366855524480343
1,21.48,-0.0387925840914249
1,21.49,-0.0335768312215805
1,21.5,-0.0247744917869568
1,21.51,-0.0153955640271306
1,21.52,-0.00745660020038486
1,21.53,-0.0014742505736649
1,21.54,0.00256248004734516
1,21.55,0.00467970501631498
1,21.56,0.00474074995145202
1,21.57,0.0025478582829237
1,21.58,-0.00175469950772822
1,21.59,-0.0073682963848114
1,21.6,-0.0126876635476947
1,21.61,-0.0158752202987671
1,21.62,-0.0163715239614248
1,21.63,-0.0154762323945761
1,21.64,-0.0155441872775555
1,21.65,-0.019421299919486
1,21.66,-0.0306202806532383
1,21.67,-0.0543232150375843
1,21.68,-0.0922201126813889
1,21.69,-0.139527216553688
1,21.7,-0.185636624693871
1,21.71,-0.22247850894928
1,21.72,-0.244192525744438
1,21.73,-0.252523332834244
1,21.74,-0.255873441696167
1,21.75,-0.26286393404007
1,21.76,-0.279683977365494
1,21.77,-0.309767633676529
1,21.78,-0.35328409075737
1,21.79,-0.405150949954987
1,21.8,-0.455472022294998
1,21.81,-0.498064279556274
1,21.82,-0.532158732414246
1,21.83,-0.554477155208588
1,21.84,-0.567465007305145
1,21.85,-0.581883192062378
1,21.86,-0.597651481628418
1,21.87,-0.611843585968018
1,21.88,-0.624681830406189
1,21.89,-0.637695968151093
1,21.9,-0.652593016624451
1,21.91,-0.66988343000412
1,21.92,-0.685712158679962
1,21.93,-0.695500314235687
1,21.94,-0.698011934757233
1,21.95,-0.695878148078918
1,21.96,-0.691797018051147
1,21.97,-0.686590015888214
1,21.98,-0.679659485816956
2,1,-0.143982589244843
2,1.01,-0.213455885648727
2,1.02,-0.286814540624619
2,1.03,-0.355779707431793
2,1.04,-0.41760116815567
2,1.05,-0.469549566507339
2,1.06,-0.51033627986908
2,1.07,-0.541483581066132
2,1.08,-0.56464409828186
2,1.09,-0.582452952861786
2,1.1,-0.599405288696289
2,1.11,-0.621465802192688
2,1.12,-0.648640394210815
2,1.13,-0.658272802829742
2,1.14,-0.654877603054047
2,1.15,-0.650504648685455
2,1.16,-0.646229982376099
2,1.17,-0.632836699485779
2,1.18,-0.61171543598175
2,1.19,-0.590906620025635
2,1.2,-0.574754118919373
2,1.21,-0.56344473361969
2,1.22,-0.554999649524689
2,1.23,-0.547309756278992
2,1.24,-0.53876531124115
2,1.25,-0.527436494827271
2,1.26,-0.510587394237518
2,1.27,-0.486053079366684
2,1.28,-0.457372039556503
2,1.29,-0.426963418722153
2,1.3,-0.396545171737671
2,1.31,-0.373977661132812
2,1.32,-0.36200550198555
2,1.33,-0.357560157775879
2,1.34,-0.358382672071457
2,1.35,-0.360935002565384
2,1.36,-0.360850900411606
2,1.37,-0.355721652507782
2,1.38,-0.346436828374863
2,1.39,-0.337588727474213
2,1.4,-0.333575636148453
2,1.41,-0.335137456655502
2,1.42,-0.341551303863525
2,1.43,-0.349825203418732
2,1.44,-0.357121676206589
2,1.45,-0.362593829631805
2,1.46,-0.366239011287689
2,1.47,-0.368896842002869
2,1.48,-0.373046457767487
2,1.49,-0.385020047426224
2,1.5,-0.408397525548935
2,1.51,-0.434568792581558
2,1.52,-0.458380401134491
2,1.53,-0.482104688882828
2,1.54,-0.51107394695282
2,1.55,-0.549071669578552
2,1.56,-0.586564004421234
2,1.57,-0.618974387645721
2,1.58,-0.647285044193268
2,1.59,-0.669895887374878
2,1.6,-0.681610584259033
2,1.61,-0.680998742580414
2,1.62,-0.684064328670502
2,1.63,-0.695656061172485
2,1.64,-0.704926609992981
2,1.65,-0.70180869102478
2,1.66,-0.689188539981842
2,1.67,-0.676108360290527
2,1.68,-0.666295111179352
2,1.69,-0.657685995101929
2,1.7,-0.649206399917603
2,1.71,-0.634591996669769
2,1.72,-0.602094233036041
2,1.73,-0.538309633731842
2,1.74,-0.453451901674271
2,1.75,-0.376037031412125
2,1.76,-0.306002557277679
2,1.77,-0.240292504429817
2,1.78,-0.182465314865112
2,1.79,-0.130941495299339
2,1.8,-0.0848163962364197
2,1.81,-0.0464803427457809
2,1.82,-0.0234027113765478
2,1.83,-0.0099747609347105
2,1.84,-0.00131383049301803
2,1.85,0.00448248209431767
2,1.86,0.00872529298067093
2,1.87,0.0118008386343718
2,1.88,0.0136588029563427
2,1.89,0.0144476173445582
2,1.9,0.0140047250315547
2,1.91,0.0132033880800009
2,1.92,0.0123845664784312
2,1.93,0.0118578746914864
2,1.94,0.0121692474931479
2,1.95,0.0134474541991949
2,1.96,0.0153301954269409
2,1.97,0.0170015506446362
2,1.98,0.0178086906671524
2,1.99,0.0178701560944319
2,2,0.0179344452917576
2,2.01,0.0187615137547255
2,2.02,0.0207337811589241
2,2.03,0.0235903803259134
2,2.04,0.0263256169855595
2,2.05,0.027669221162796
2,2.06,0.0266861617565155
2,2.07,0.0229083094745874
2,2.08,0.0169826149940491
2,2.09,0.0109772821888328
2,2.1,0.00662459852173924
2,2.11,0.00444128923118114
2,2.12,0.00386928184889257
2,2.13,0.00383137189783156
2,2.14,0.00355638237670064
2,2.15,0.0028897721786052
2,2.16,0.00213424768298864
2,2.17,0.00152036012150347
2,2.18,0.000936670578084886
2,2.19,0.000441017502453178
2,2.2,0.000397571973735467
2,2.21,0.0010029460536316
2,2.22,0.00188804371282458
2,2.23,0.00190342904534191
2,2.24,-0.000677265808917582
2,2.25,-0.00814317725598812
2,2.26,-0.0240254942327738
2,2.27,-0.05201281234622
2,2.28,-0.0923199877142906
2,2.29,-0.140859842300415
2,2.3,-0.187233343720436
2,2.31,-0.228607699275017
2,2.32,-0.269029915332794
2,2.33,-0.30928635597229
2,2.34,-0.347222626209259
2,2.35,-0.380560845136642
2,2.36,-0.412238329648972
2,2.37,-0.446296870708466
2,2.38,-0.477043241262436
2,2.39,-0.499723613262177
2,2.4,-0.515543937683105
2,2.41,-0.52790778875351
2,2.42,-0.538524687290192
2,2.43,-0.548286557197571
2,2.44,-0.557545721530914
2,2.45,-0.565616846084595
2,2.46,-0.57144159078598
2,2.47,-0.573387622833252
2,2.48,-0.57012277841568
2,2.49,-0.562007486820221
2,2.5,-0.550697207450867
2,2.51,-0.537391543388367
2,2.52,-0.522602677345276
2,2.53,-0.506395518779755
2,2.54,-0.488604962825775
2,2.55,-0.468628227710724
2,2.56,-0.445874482393265
2,2.57,-0.420143693685532
2,2.58,-0.392284035682678
2,2.59,-0.365883588790894
2,2.6,-0.343715995550156
2,2.61,-0.325439512729645
2,2.62,-0.30826798081398
2,2.63,-0.290266215801239
2,2.64,-0.273670077323914
2,2.65,-0.261475086212158
2,2.66,-0.254348367452621
2,2.67,-0.252385318279266
2,2.68,-0.256480395793915
2,2.69,-0.267266362905502
2,2.7,-0.283670157194138
2,2.71,-0.300802737474442
2,2.72,-0.313505083322525
2,2.73,-0.321126163005829
2,2.74,-0.324070483446121
2,2.75,-0.322944223880768
2,2.76,-0.315750747919083
2,2.77,-0.298420608043671
2,2.78,-0.278596580028534
2,2.79,-0.268693566322327
2,2.8,-0.276421189308167
2,2.81,-0.307257324457169
2,2.82,-0.368319153785706
2,2.83,-0.458502382040024
2,2.84,-0.525180160999298
2,2.85,-0.53417444229126
2,2.86,-0.531643450260162
2,2.87,-0.533641338348389
2,2.88,-0.538135290145874
2,2.89,-0.546699106693268
2,2.9,-0.555591583251953
2,2.91,-0.553169429302216
2,2.92,-0.535817384719849
2,2.93,-0.524365901947021
2,2.94,-0.52045214176178
2,2.95,-0.493185847997665
2,2.96,-0.412199079990387
2,2.97,-0.263365477323532
2,2.98,-0.201642423868179
2,2.99,-0.210307702422142
2,3,-0.241045475006104
2,3.01,-0.252892822027206
2,3.02,-0.236681491136551
2,3.03,-0.210499539971352
2,3.04,-0.180748671293259
2,3.05,-0.148736551403999
2,3.06,-0.119619257748127
2,3.07,-0.100163221359253
2,3.08,-0.0873237103223801
2,3.09,-0.0693806037306786
2,3.1,-0.0480588115751743
2,3.11,-0.0310075115412474
2,3.12,-0.0209710225462914
2,3.13,-0.0165834818035364
2,3.14,-0.0167570356279612
2,3.15,-0.0201233774423599
2,3.16,-0.0266547128558159
2,3.17,-0.0376783087849617
2,3.18,-0.0543408878147602
2,3.19,-0.0834956765174866
2,3.2,-0.0893344804644585
2,3.21,-0.0778806507587433
2,3.22,-0.0633604526519775
2,3.23,-0.0437201745808125
2,3.24,-0.0202260725200176
2,3.25,-0.00911085121333599
2,3.26,-0.00500112632289529
2,3.27,-0.00342342001385987
2,3.28,-0.0039476677775383
2,3.29,-0.00434318231418729
2,3.3,-0.01051458530128
2,3.31,-0.00990890525281429
2,3.32,-0.00715637532994151
2,3.33,-0.00494069186970592
2,3.34,-0.00442969147115946
2,3.35,-0.00614231592044234
2,3.36,-0.00877126678824425
2,3.37,-0.010853597894311
2,3.38,-0.0131507897749543
2,3.39,-0.0165246520191431
2,3.4,-0.0172994937747717
2,3.41,-0.0144012421369553
2,3.42,-0.0111936796456575
2,3.43,-0.00983312353491783
2,3.44,-0.0101669449359179
2,3.45,-0.0114920334890485
2,3.46,-0.0129048144444823
