Trial,Time_s,Predicted_LY_Moment
1,5.4,-0.00425358070060611
1,5.41,-0.00204469496384263
1,5.42,6.89200824126601e-05
1,5.43,0.00191918679047376
1,5.44,0.00343995657749474
1,5.45,0.00464672595262527
1,5.46,0.00556012382730842
1,5.47,0.00615629693493247
1,5.48,0.00640893261879683
1,5.49,0.00629123020917177
1,5.5,0.00566863873973489
1,5.51,0.00441097468137741
1,5.52,0.0026366685051471
1,5.53,0.00059887528186664
1,5.54,-0.00150014390237629
1,5.55,-0.00356456288136542
1,5.56,-0.00560894329100847
1,5.57,-0.00771441077813506
1,5.58,-0.00999502744525671
1,5.59,-0.0125850336626172
1,5.6,-0.0156480669975281
1,5.61,-0.0193838253617287
1,5.62,-0.023963226005435
1,5.63,-0.029344180598855
1,5.64,-0.0349563807249069
1,5.65,-0.0401033535599709
1,5.66,-0.0477727614343166
1,5.67,-0.0630422756075859
1,5.68,-0.104173809289932
1,5.69,-0.20627224445343
1,5.7,-0.310204714536667
1,5.71,-0.402450829744339
1,5.72,-0.427884310483932
1,5.73,-0.419525176286697
1,5.74,-0.401675462722778
1,5.75,-0.38312754034996
1,5.76,-0.366764456033707
1,5.77,-0.357385009527206
1,5.78,-0.358956277370453
1,5.79,-0.369324684143066
1,5.8,-0.383367985486984
1,5.81,-0.396109938621521
1,5.82,-0.405027002096176
1,5.83,-0.410165131092072
1,5.84,-0.413183838129044
1,5.85,-0.415825694799423
1,5.86,-0.41920393705368
1,5.87,-0.423894077539444
1,5.88,-0.430026978254318
1,5.89,-0.437417507171631
1,5.9,-0.445082396268845
1,5.91,-0.451094150543213
1,5.92,-0.455294281244278
1,5.93,-0.45818492770195
1,5.94,-0.45832484960556
1,5.95,-0.457272261381149
1,5.96,-0.45691704750061
1,5.97,-0.45775094628334
1,5.98,-0.459098935127258
1,5.99,-0.460672676563263
1,6,-0.46260142326355
1,6.01,-0.464504361152649
1,6.02,-0.465606659650803
1,6.03,-0.465364784002304
1,6.04,-0.463984727859497
1,6.05,-0.462384849786758
1,6.06,-0.461552292108536
1,6.07,-0.461819708347321
1,6.08,-0.461432009935379
1,6.09,-0.459623605012894
1,6.1,-0.457630395889282
1,6.11,-0.456579059362411
1,6.12,-0.456600040197372
1,6.13,-0.457525730133057
1,6.14,-0.459227561950684
1,6.15,-0.461642295122147
1,6.16,-0.464749187231064
1,6.17,-0.468566477298737
1,6.18,-0.473123520612717
1,6.19,-0.478391647338867
1,6.2,-0.484213173389435
1,6.21,-0.490247249603271
1,6.22,-0.495980560779572
1,6.23,-0.500827670097351
1,6.24,-0.504302322864532
1,6.25,-0.506317138671875
1,6.26,-0.507627248764038
1,6.27,-0.509443521499634
1,6.28,-0.512091815471649
1,6.29,-0.515105426311493
1,6.3,-0.517637491226196
1,6.31,-0.51886111497879
1,6.32,-0.518610775470734
1,6.33,-0.517104148864746
1,6.34,-0.514679968357086
1,6.35,-0.511708915233612
1,6.36,-0.508460819721222
1,6.37,-0.504972279071808
1,6.38,-0.501125931739807
1,6.39,-0.496798694133759
1,6.4,-0.491908758878708
1,6.41,-0.486441969871521
1,6.42,-0.480654180049896
1,6.43,-0.475379258394241
1,6.44,-0.471970051527023
1,6.45,-0.471751809120178
1,6.46,-0.474095046520233
1,6.47,-0.473819106817245
1,6.48,-0.469573229551315
1,6.49,-0.463843673467636
1,6.5,-0.457491725683212
1,6.51,-0.449828267097473
1,6.52,-0.440234065055847
1,6.53,-0.430044263601303
1,6.54,-0.420991867780685
1,6.55,-0.413733839988708
1,6.56,-0.40822359919548
1,6.57,-0.404655277729034
1,6.58,-0.403873085975647
1,6.59,-0.406783133745193
1,6.6,-0.413324058055878
1,6.61,-0.421995639801025
1,6.62,-0.430416017770767
1,6.63,-0.437179654836655
1,6.64,-0.442523926496506
1,6.65,-0.447284281253815
1,6.66,-0.4520123898983
1,6.67,-0.456571012735367
1,6.68,-0.460324198007584
1,6.69,-0.462636917829514
1,6.7,-0.463030248880386
1,6.71,-0.461083292961121
1,6.72,-0.456842601299286
1,6.73,-0.451573997735977
1,6.74,-0.446770757436752
1,6.75,-0.442999839782715
1,6.76,-0.440732568502426
1,6.77,-0.44035530090332
1,6.78,-0.441064029932022
1,6.79,-0.438511252403259
1,6.8,-0.429909884929657
1,6.81,-0.416435271501541
1,6.82,-0.400194853544235
1,6.83,-0.385156661272049
1,6.84,-0.375342845916748
1,6.85,-0.371588468551636
1,6.86,-0.372095733880997
1,6.87,-0.374688118696213
1,6.88,-0.377383798360825
1,6.89,-0.377897977828979
1,6.9,-0.374580889940262
1,6.91,-0.367294609546661
1,6.92,-0.356817126274109
1,6.93,-0.343727141618729
1,6.94,-0.327654451131821
1,6.95,-0.307475864887238
1,6.96,-0.282353073358536
1,6.97,-0.25284343957901
1,6.98,-0.221097260713577
1,6.99,-0.190049603581429
1,7,-0.161699280142784
1,7.01,-0.136277139186859
1,7.02,-0.113196775317192
1,7.03,-0.0921054556965828
1,7.04,-0.0734189674258232
1,7.05,-0.0575024634599686
1,7.06,-0.0446256883442402
1,7.07,-0.0344076342880726
1,7.08,-0.0258243437856436
1,7.09,-0.0187180005013943
1,7.1,-0.0132465241476893
1,7.11,-0.00960000511258841
1,7.12,-0.00716753723099828
1,7.13,-0.00512402364984155
1,7.14,-0.00315782241523266
1,7.15,-0.00112893944606185
1,7.16,0.000971015717368573
1,7.17,0.00305415643379092
1,7.18,0.00497982837259769
1,7.19,0.00669505819678307
1,7.2,0.0084320604801178
1,7.21,0.0103462925180793
1,7.22,0.0121896602213383
1,7.23,0.0135397873818874
1,7.24,0.0140892956405878
1,7.25,0.0138027537614107
1,7.26,0.012875696644187
1,7.27,0.0116088101640344
1,7.28,0.0102587174624205
1,7.29,0.00892838649451733
1,7.3,0.00758959585800767
1,7.31,0.00620067398995161
1,7.32,0.00478616589680314
1,7.33,0.00341998692601919
1,7.34,0.0021959519945085
1,7.35,0.00123006477952003
1,7.36,0.000556370709091425
1,7.37,-4.6482055040542e-06
1,7.38,-0.000748790393117815
1,7.39,-0.00184215675108135
1,7.4,-0.00311060296371579
1,7.41,-0.00408359710127115
1,7.42,-0.00439326371997595
1,7.43,-0.00411455705761909
1,7.44,-0.00358955934643745
1,7.45,-0.00307853380218148
1,7.46,-0.00275465287268162
1,7.47,-0.00279393326491117
1,7.48,-0.00308262463659048
1,7.49,-0.00312148896045983
1,7.5,-0.00248426687903702
1,7.51,-0.00108844565693289
1,7.52,0.000848563679028302
1,7.53,0.0029407877009362
1,7.54,0.00479940930381417
1,7.55,0.00614853110164404
1,7.56,0.00683848513290286
1,7.57,0.00680912053212523
1,7.58,0.00606262078508735
1,7.59,0.00463504204526544
1,7.6,0.00254912837408483
1,7.61,-7.89792175055481e-05
1,7.62,-0.00287093385122716
1,7.63,-0.00544461095705628
1,7.64,-0.00754740880802274
1,7.65,-0.00900168251246214
1,7.66,-0.00969493016600609
1,7.67,-0.00961317960172892
1,7.68,-0.00880666822195053
1,7.69,-0.00734393484890461
1,7.7,-0.0052730324678123
1,7.71,-0.00272091967053711
1,7.72,-7.39868337404914e-05
1,7.73,0.00228519085794687
1,7.74,0.00441145990043879
1,7.75,0.00656102690845728
1,7.76,0.00879941694438457
1,7.77,0.0109001006931067
1,7.78,0.0125285871326923
1,7.79,0.0135633628815413
1,7.8,0.0139415357261896
1,7.81,0.0136350933462381
1,7.82,0.0127173969522119
1,7.83,0.0112343821674585
1,7.84,0.0092180147767067
1,7.85,0.00688452599570155
1,7.86,0.00465192599222064
1,7.87,0.00287838280200958
1,7.88,0.00164866214618087
1,7.89,0.00080352823715657
1,7.9,9.94290894595906e-05
1,7.91,-0.000663711922243237
1,7.92,-0.00163063919171691
1,7.93,-0.0028570662252605
1,7.94,-0.00437152571976185
1,7.95,-0.00618185382336378
1,7.96,-0.008374341763556
1,7.97,-0.0109791504219174
1,7.98,-0.0139976693317294
1,7.99,-0.0174649469554424
1,8,-0.0214189477264881
1,8.01,-0.0258963517844677
1,8.02,-0.0309328678995371
1,8.03,-0.0365316532552242
1,8.04,-0.0425705276429653
1,8.05,-0.0487412512302399
1,8.06,-0.0546803809702396
1,8.07,-0.0601946413516998
1,8.08,-0.0653805136680603
1,8.09,-0.070626012980938
1,8.1,-0.0764996185898781
1,8.11,-0.0835304483771324
1,8.12,-0.092107467353344
1,8.13,-0.102480486035347
1,8.14,-0.114941298961639
